latitude;longitude;bright_ti4;scan;track;type
-437.743;11.030.107;341.06.00;00.45;00.39;-0,140406578
-438.883;11.035.473;314;00.45;00.39;-0,141223433
-440.022;11.040.840;336.06.00;00.45;00.39;-0,142040288
-441.161;11.046.207;318.06.00;00.46;00.39;-0,142857143
-442.301;11.051.574;350.08.00;00.46;00.39;-0,143673998
-443.440;11.056.941;305.07.00;00.45;00.39;-0,144490853
-444.579;11.062.308;328.01.00;00.45;00.39;-0,145307708
-445.719;11.067.675;301.09.00;00.45;00.39;-0,146124563
-446.858;11.073.042;305.08.00;00.45;00.39;-0,146941418
-447.997;11.078.408;314.07.00;00.45;00.39;-0,147758273
-449.137;11.083.775;308.09.00;00.52;00.41;-0,148575128
-450.276;11.089.142;303.05.00;00.52;00.41;-0,149391982
-451.415;11.094.509;316.04.00;00.52;00.41;-0,150208837
-452.555;11.099.876;323.06.00;00.52;00.41;-0,151025692
-453.694;11.105.243;310.09.00;00.52;00.41;-0,151842547
-454.833;11.110.610;311.09.00;00.45;00.39;-0,152659402
-455.973;11.115.977;307.09.00;00.52;00.41;-0,153476257
-457.112;11.121.343;303;00.52;00.41;-0,154293112
-458.251;11.126.710;304.08.00;00.52;00.41;-0,155109967
-459.391;11.132.077;326.09.00;00.39;00.36;-0,155926822
-460.530;11.137.444;303.05.00;00.45;00.39;-0,156743677
-461.669;11.142.811;304.03.00;00.05;00.41;-0,157560532
-462.809;11.148.178;302.08.00;00.45;00.39;-0,158377387
-463.948;11.153.545;310.04.00;00.45;00.39;-0,159194242
-465.087;11.158.911;309.05.00;00.45;00.39;-0,160011097
-466.227;11.164.278;303.07.00;00.05;00.41;-0,160827952
-467.366;11.169.645;333;00.45;00.39;-0,161644807
-468.505;11.175.012;321.05.00;00.45;00.39;-0,162461662
-469.645;11.180.379;325.04.00;00.45;00.39;-0,163278517
-470.784;11.185.746;305.08.00;00.45;00.39;-0,164095372
-471.923;11.191.113;303.09.00;00.39;00.36;-0,164912227
-473.063;11.196.480;320.02.00;00.39;00.36;-0,165729082
-474.202;11.201.846;305.08.00;00.39;00.36;-0,166545937
-475.341;11.207.213;313.03.00;00.39;00.36;-0,167362791
-476.480;11.212.580;305.05.00;00.38;00.36;-0,168179646
-236.753;10.592.075;302.07.00;00.53;00.42;0
-267.323;10.413.869;310.02.00;00.45;00.47;0
-288.952;1.039.213;308.09.00;00.46;00.47;3
-321.802;11.499.165;309.02.00;00.39;00.44;0
-228.678;10.393.917;307.09.00;00.47;00.48;2
-324.632;11.601.455;332.02.00;00.46;00.47;0
-224.559;11.439.287;301.09.00;00.53;00.42;0
-265.276;10.412.125;309.09.00;00.45;00.47;0
-26.521;10.411.719;320.09.00;00.45;00.47;0
-264.846;10.412.195;313.06.00;00.45;00.47;0
-331.124;10.440.264;314.08.00;00.42;00.45;2
-322.207;11.499.097;315.01.00;00.39;00.44;0
-29.007;11.524.846;308.02.00;00.04;00.44;0
-0.56701;10.304.044;315.04.00;00.57;00.52;0
-218.183;10.610.914;303.09.00;00.52;00.41;0
-28.783;11.526.679;304.01.00;00.04;00.45;0
-30.988;11.510.781;325.08.00;00.04;00.44;2
-287.775;11.526.315;308.01.00;00.04;00.45;0
-100.458;10.336.362;305.02.00;00.53;00.05;2
-0.56782;10.304.565;343.02.00;00.57;00.52;0
-0.03534;1.030.388;301.04.00;00.58;00.52;0
-117.638;10.336.086;303;00.53;00.05;0
-117.341;10.335.798;304.06.00;00.53;00.05;0
-227.718;10.341.991;306.02.00;00.51;00.49;0
-227.263;1.034.206;311.07.00;00.51;00.49;0
-22.773;10.342.173;307.04.00;00.51;00.49;0
-229.116;10.393.847;303.05.00;00.47;00.48;2
-759.361;11.205.698;305.05.00;00.46;00.39;0
-892.684;14.080.501;331.07.00;00.06;00.07;0
-620.894;13.874.258;337.02.00;0,052083333;0,053472222;0
-654.193;13.898.279;328.02.00;0,050694444;0,052777778;0
